Title,Album,main_emotion
Love Me Harder (Kassiano Remix),The Remix,Angry
Vienna (cover song),,Happy
Unknown,,Sad
False Romance,,Angry
Indica,,Sad
34+35 (DJ Siembab Remix),Remixes by DJ Siembab,Calm
Could Be Us,,Sad
Sweetener World Tour (Updated December 2019),,Sad
Honeymoon Avenue (Demo),,Calm
Spent It,,Sad
The Honeymoon Tour Special Guests,Ariana Grande,Sad
Miss Me*,,Angry
Knew Better/Forever Boy (DWT First Stop Version),,Angry
God is a Woman (HOPEX Remix),,Angry
Hei,,Sad
"-thank u, next (video version)",,Sad
Problem (No Rap Version),,Energetic
"Lemons, Blueberries & Strawberries",,Angry
Untitled*,,Angry
34+35 - COPY,,Calm
Positions (DJ Siembab Remix),Remixes by DJ Siembab,Angry
Shhh,,Love
"Thank u, next (Jennifer Coolidge and Ariana Grande conversation)",,Angry
Big white room,,Love
Sniffer Dogs,,Happy
Had it all*,,Sad
Shut up (Nederlandse vertaling),,Sad
Love Boy,,Angry
Everynight,,Angry
Alone (Ariana Grande Demo),,Calm
Ariana Grande - pov (terjemahan bahasa indonesia),,Sad
God is a Woman (Excuse me i love you LIVE),,Angry
Magic*,,Calm
Right here,,Sad
Venuss*,,Sad
One last time_Ariana_Grande_(2014),,Happy
